ENSMUSP00000034276,Cox4i1 Cox4 Cox4a
ENSMUSP00000007012,Sod2 Sod-2
ENSMUSP00000022639,Nefl Nf68 Nfl
ENSMUSP00000080531,Fdps
ENSMUSP00000027853,Mpc2 Brp44
ENSMUSP00000007248,Hspa1l Hsc70t
ENSMUSP00000037454,Npl
ENSMUSP00000063359,Camk2d Kiaa4163
ENSMUSP00000029382,Ppid
ENSMUSP00000043543,Ndufb10
ENSMUSP00000001108,Add1
ENSMUSP00000031866,Mtpn Gcdp
ENSMUSP00000083705,Rplp0 Arbp
ENSMUSP00000030623,Sfpq Psf
ENSMUSP00000045048,Hnrnpf Hnrpf
ENSMUSP00000038135,Dhx9
ENSMUSP00000001452,Cct3 Cctg
ENSMUSP00000025918,Stip1
ENSMUSP00000081142,Tardbp Tdp43
ENSMUSP00000032998,Rps3
ENSMUSP00000086795,Lgals1 Gbp
ENSMUSP00000031862,Cbx3 mCG_119115
ENSMUSP00000106481,Dld
ENSMUSP00000034264,Pgls
ENSMUSP00000048350,Vat1 Vat-1
ENSMUSP00000025379,Dpysl3 Drp3 Ulip
ENSMUSP00000015877,Capza2 Cappa2
ENSMUSP00000004554,Rps5 mCG_22552
ENSMUSP00000034567,Dlat
ENSMUSP00000003397,Ap1m2 mCG_14036
ENSMUSP00000074809,Ctnna2 Catna2
ENSMUSP00000020397,Snrpd3
ENSMUSP00000031314,Alb Alb-1 Alb1
ENSMUSP00000090633,Ahnak
ENSMUSP00000063054,Rab33b
ENSMUSP00000063804,Rab39a Rab39
ENSMUSP00000086886,Cds2
ENSMUSP00000055535,Ddx17 mCG_13126
ENSMUSP00000076801,Fus
ENSMUSP00000019354,Atp6v1e1 Atp6e Atp6e2
ENSMUSP00000019517,Cops3 Csn3
ENSMUSP00000021259,Gucy2e Guc2e
ENSMUSP00000020283,H2afy2 H2afy3
ENSMUSP00000081544,Oat
ENSMUSP00000005017,Hdgf Tdrm1
ENSMUSP00000041299,Usp5 Isot
ENSMUSP00000021290,Rcvrn Rcv1
ENSMUSP00000009234,Ap1b1 Adtb1
ENSMUSP00000034966,Rpl4
ENSMUSP00000011895,Sptbn4 Spnb4
ENSMUSP00000001544,Vwa5a Loh11cr2a
ENSMUSP00000007814,Khsrp Fubp2
ENSMUSP00000077262,Cfl2
ENSMUSP00000027579,Actr3 Arp3
ENSMUSP00000039844,Actr1a Ctrn1
ENSMUSP00000068479,Ak1
ENSMUSP00000052872,Fasn
ENSMUSP00000030541,Hp1bp3
ENSMUSP00000022706,Sucla2
ENSMUSP00000008036,Rplp1
ENSMUSP00000023269,Rpl24
ENSMUSP00000077875,Rtn4
ENSMUSP00000033176,Uqcrc2
ENSMUSP00000047326,Actr1b
ENSMUSP00000001460,Snd1
ENSMUSP00000059404,Pura
ENSMUSP00000025217,Hspa9 Grp75 Hsp74 Hspa9a
ENSMUSP00000038961,Gm11273 Cox5b mCG_17741 mCG_23026
ENSMUSP00000001592,Jup
ENSMUSP00000021076,Rab37 mCG_6631
ENSMUSP00000068349,Rab27b
ENSMUSP00000088041,Sars Sars1 Sers
ENSMUSP00000019246,Aldh3a1 Ahd-4 Ahd4 Aldh3 Aldh4
ENSMUSP00000021273,Vamp2 Syb2
ENSMUSP00000046189,Snap91
ENSMUSP00000027478,Ndufa10
ENSMUSP00000042658,Hnrnpa1 Hnrpa1
ENSMUSP00000044168,Pacsin1 Pacsin
ENSMUSP00000020562,Cct4
ENSMUSP00000017430,Glod4
ENSMUSP00000093955,Eef1g
ENSMUSP00000099509,Snrnp200 Kiaa0788
ENSMUSP00000028517,Ola1 Gtpbp9
ENSMUSP00000114529,Rps2
ENSMUSP00000007131,Acly
ENSMUSP00000090088,Ank3 mCG_14429
ENSMUSP00000084864,Hnrnpm Hnrpm
ENSMUSP00000064691,Gfap
ENSMUSP00000062030,Hist1h1a H1a H1f1
ENSMUSP00000013304,Atp6v0d1 Atp6d
ENSMUSP00000072040,Acsl6 Facl6
ENSMUSP00000030455,Akr1a1 Akr1a4
ENSMUSP00000025679,Otub1
ENSMUSP00000070821,Dnpep
ENSMUSP00000111442,Ube2v2 Mms2 Uev2
ENSMUSP00000035220,Prkar2a mCG_16488
ENSMUSP00000085531,Obp1a
ENSMUSP00000110021,Rab11b
ENSMUSP00000099907,Rtn4 Kiaa0886 Nogo
ENSMUSP00000082254,Sv2b Kiaa0735
ENSMUSP00000045216,Slc16a1 Mct1
ENSMUSP00000032078,Cct7 Ccth
ENSMUSP00000052373,Csl mCG_19869
ENSMUSP00000102198,Rps15a
ENSMUSP00000066312,Myef2 Kiaa1341 Mef2
ENSMUSP00000054856,Uqcr10
ENSMUSP00000100045,Akr1b1 Akr1b3 Aldor1 Aldr1
ENSMUSP00000088174,Rap1a Krev-1
ENSMUSP00000074724,Hspe1
ENSMUSP00000000727,Rab5b
ENSMUSP00000051092,Picalm Calm Fit1
ENSMUSP00000034581,Cadm1 Igsf4 Necl2 Ra175 Syncam SynCam1 Tslc1
ENSMUSP00000005164,Prkacb Pkacb
ENSMUSP00000021497,Rtn1
ENSMUSP00000059419,Sfxn3
ENSMUSP00000040222,Lap3 Lapep
ENSMUSP00000073061,Pgrmc1 Pgrmc
ENSMUSP00000000090,Cox5a
ENSMUSP00000051222,Atp5i Atp5k Lfm-1 Lfm1
ENSMUSP00000027111,Ndufs1
ENSMUSP00000019268,Scrn1 Kiaa0193
